"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921603","2002941103","1355764656","115329618","10","80683082","##############42#","CS","83","83","25,456.10","A668","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766147","115329298","20","80683082","##############42#","CS","37","37","11,347.90","D352","6.90315E+12","30"
"20230706","2002920557","2003175465","1355763710","115329328","20","80683082","##############42#","CS","20","20","6,134.00","A672","6.90315E+12","30"
"20230706","2002920557","2003175465","1355780204","115330118","30","80683082","##############42#","CS","80","80","24,536.00","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764817","115329312","30","80683082","##############42#","CS","24","24","7,360.80","D352","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765592","115329220","20","80683082","##############42#","CS","47","47","14,414.90","D352","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764366","115329661","20","80683082","##############42#","CS","101","101","30,976.70","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764033","115329669","30","80683082","##############42#","CS","167","167","51,218.90","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765234","115329551","30","80683082","##############42#","CS","60","60","18,402.00","C816","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765808","115329431","20","80683082","##############42#","CS","75","75","23,002.50","C816","6.90315E+12","50"
"20230706","2002921582","2003237263","1355778760","115329692","20","80683082","##############42#","CS","95","95","29,136.50","C816","6.90315E+12","50"
"20230706","2002921600","2002921601","1355765072","115329432","30","80683083","###############34#","CS","81","81","24,842.70","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764997","115329531","20","80683083","###############34#","CS","22","22","6,747.40","A680","6.90315E+12","30"
"20230706","2002921603","2002941103","1355764580","115329617","30","80683083","###############34#","CS","25","25","7,667.50","A668","6.90315E+12","30"
"20230706","2002921607","2002921675","1355763795","115329392","30","80683083","###############34#","CS","4","4","1,226.80","A715","6.90315E+12","30"
"20230706","2002921607","2002930241","1355764151","115329456","30","80683083","###############34#","CS","36","36","11,041.20","A715","6.90315E+12","50"
"20230706","2002921611","2002941153","1355764248","115329658","20","80683083","###############34#","CS","56","56","17,175.20","A716","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766166","115329302","20","80683083","###############34#","CS","28","28","8,587.60","D352","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764807","115329337","30","80683083","###############34#","CS","78","78","23,922.60","D352","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765600","115329224","20","80683083","###############34#","CS","48","48","14,721.60","D352","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764347","115329646","30","80683083","###############34#","CS","168","168","51,525.60","C816","6.90315E+12","50"
"20230706","2002921582","2002921587","1355779993","115329681","30","80683083","###############34#","CS","68","68","20,855.60","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355764034","115329541","30","80683083","###############34#","CS","180","180","55,206.00","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355779656","115329685","20","80683083","###############34#","CS","53","53","16,255.10","C816","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765819","115329336","20","80683083","###############34#","CS","5","5","1,533.50","D767","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765724","115329257","30","80683083","###############34#","CS","72","72","22,082.40","A673","6.90315E+12","40"
"20230706","2002921600","2002921601","1355765065","115329547","10","80683084","#########JVD##56#","CS","7","7","2,862.51","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764977","115329557","30","80683084","#########JVD##56#","CS","2","2","817.86","A680","6.90315E+12","30"
